locus	length bp	direction	start	stop	NCBI Name	NCBI Locus	NCBI Annotation
CLJU_c18710	504	=>	2027704	2028207	-	CLJU_RS22015	hypothetical protein
CLJU_c18720	777	=>	2028204	2028980			
CLJU_c18730	642	=>	2029081	2029722	-	CLJU_RS09185	DUF4397 domain-containing protein
CLJU_c18740	1584	=>	2029841	2031424	-	CLJU_RS09190	MULTISPECIES: GH3 auxin-responsive promoter family protein
CLJU_c18750	504	<=	2031450	2031953			
CLJU_c18760	1905	=>	2032726	2034630	-	CLJU_RS09200	MULTISPECIES: glycoside hydrolase family 18
CLJU_c18770	546	<=	2034850	2035395	-	CLJU_RS09205	DUF4489 domain-containing protein
CLJU_c18780	783	<=	2035571	2036353	-	CLJU_RS09210	MULTISPECIES: hypothetical protein
CLJU_c18790	1461	=>	2036479	2037939	-	CLJU_RS09215	MULTISPECIES: hypothetical protein
CLJU_c18800	819	<=	2038264	2039082	-	CLJU_RS09220	MULTISPECIES: hypothetical protein
CLJU_c18810	792	=>	2039318	2040109	-	CLJU_RS09225	MULTISPECIES: hypothetical protein
CLJU_c18820	864	=>	2040212	2041075	-	CLJU_RS09230	MULTISPECIES: hypothetical protein
CLJU_c18830	606	=>	2041404	2042009	-	CLJU_RS09235	MULTISPECIES: hypothetical protein
CLJU_c18840	132	<=	2042608	2042739			
CLJU_c18850	876	=>	2043154	2044029	-	CLJU_RS09240	response regulator
CLJU_c18860	465	=>	2044011	2044475	-	CLJU_RS09245	MULTISPECIES: chemotaxis protein CheX
CLJU_c18870	729	<=	2044573	2045301	-	CLJU_RS09250	MULTISPECIES: transporter
CLJU_c18880	1980	=>	2045708	2047687	-	CLJU_RS09255	MULTISPECIES: methyl-accepting chemotaxis protein
CLJU_c18890	435	=>	2047937	2048371	-	CLJU_RS09260	MULTISPECIES: MarR family transcriptional regulator
CLJU_c18900	2226	=>	2048418	2050643	-	CLJU_RS09265	MULTISPECIES: ABC transporter ATP-binding protein
CLJU_c18910	1860	=>	2050640	2052499	-	CLJU_RS09270	MULTISPECIES: ABC transporter ATP-binding protein
CLJU_c18920	384	=>	2052639	2053022	-	CLJU_RS09275	MULTISPECIES: BlaI/MecI/CopY family transcriptional regulator
CLJU_c18930	1947	=>	2053035	2054981	-	CLJU_RS21615	MULTISPECIES: hypothetical protein
CLJU_c18940	1308	=>	2055092	2056399	-	CLJU_RS09285	MULTISPECIES: vanomycin resistance protein VanB
CLJU_c18950	2403	<=	2056716	2059118	-	CLJU_RS09290	collagen-like protein
CLJU_c18960	525	=>	2059408	2059932	-	CLJU_RS09295	MULTISPECIES: hypothetical protein
CLJU_c18970	1470	<=	2060518	2061987	-	CLJU_RS09300	MULTISPECIES: class I SAM-dependent methyltransferase
CLJU_c18980	1947	=>	2062291	2064237			
CLJU_c18990	1074	<=	2064374	2065447	-	CLJU_RS09310	MULTISPECIES: glycosyltransferase family 2 protein
CLJU_c19000	246	=>	2065515	2065760	-	CLJU_RS09315	MULTISPECIES: ATP-binding cassette domain-containing protein
CLJU_c19010	501	=>	2065778	2066278			
CLJU_c19020	1620	=>	2066542	2068161	abc-f	CLJU_RS09325	MULTISPECIES: ABC-F type ribosomal protection protein
ggt	1608	=>	2068310	2069917	ggt	CLJU_RS09330	MULTISPECIES: gamma-glutamyltransferase
CLJU_c19040	660	=>	2069996	2070655	-	CLJU_RS09335	MULTISPECIES: ECF transporter S component
CLJU_c19050	1788	=>	2071073	2072860	pepF	CLJU_RS09340	MULTISPECIES: oligoendopeptidase F
CLJU_c19060	288	<=	2073040	2073327	-	CLJU_RS09345	MULTISPECIES: hypothetical protein
CLJU_c19070	1758	=>	2073992	2075749	-	CLJU_RS09350	RNA helicase
CLJU_c19080	954	=>	2076281	2077234	-	CLJU_RS09355	GTP-binding protein
CLJU_c19090	870	=>	2077354	2078223	-	CLJU_RS09360	methylcobalamin--coenzyme M methyltransferase
hemE	1071	=>	2078266	2079336	-	CLJU_RS09365	uroporphyrinogen decarboxylase
CLJU_c19110	657	=>	2079377	2080033	-	CLJU_RS09370	MULTISPECIES: cobalamin-binding protein
CLJU_c19120	1032	=>	2080049	2081080	-	CLJU_RS09375	MtaA/CmuA family methyltransferase
CLJU_c19130	1794	=>	2081073	2082866	-	CLJU_RS09380	DUF4445 domain-containing protein
CLJU_c19140	609	<=	2082984	2083592	-	CLJU_RS09385	3\'-5\' exonuclease
CLJU_c19150	846	=>	2083722	2084567	-	CLJU_RS09390	MULTISPECIES: YitT family protein
CLJU_c19160	225	<=	2084671	2084895	-	CLJU_RS09395	hypothetical protein
CLJU_c19170	147	<=	2085280	2085426			
CLJU_c19180	171	<=	2085525	2085695	-	CLJU_RS22030	MULTISPECIES: hypothetical protein
CLJU_c19190	699	=>	2085822	2086520	-	CLJU_RS09400	MULTISPECIES: helix-turn-helix domain-containing protein
CLJU_c19200	747	=>	2086628	2087374	-	CLJU_RS09405	MULTISPECIES: IS3 family transposase
CLJU_c19210	708	<=	2087669	2088376	-	CLJU_RS09410	MULTISPECIES: epoxyqueuosine reductase
CLJU_c19220	1386	=>	2088657	2090042	-	CLJU_RS09415	MULTISPECIES: cytosine permease
CLJU_c19230	1269	=>	2090062	2091330	codA	CLJU_RS09420	MULTISPECIES: cytosine deaminase
CLJU_c19240	390	=>	2091490	2091879	-	CLJU_RS09425	MULTISPECIES: immunity 22 family protein
mopI	207	=>	2092450	2092656	-	CLJU_RS09430	MULTISPECIES: molybdenum-pterin-binding protein
CLJU_c19260	258	<=	2092895	2093152	-	CLJU_RS09435	MULTISPECIES: hypothetical protein
CLJU_c19270	462	<=	2093160	2093621	-	CLJU_RS09440	MULTISPECIES: OsmC family protein
CLJU_c19280	984	=>	2093728	2094711	-	CLJU_RS09445	MULTISPECIES: D-2-hydroxyacid dehydrogenase
pepT1	1227	=>	2094755	2095981	pepT	CLJU_RS09450	MULTISPECIES: peptidase T
CLJU_c19300	2658	=>	2096005	2098662	-	CLJU_RS09455	MULTISPECIES: LuxR family transcriptional regulator
pepT2	1227	=>	2098868	2100094	pepT	CLJU_RS09460	peptidase T
CLJU_c19320	1506	=>	2100124	2101629	yjeM	CLJU_RS09465	MULTISPECIES: glutamate/gamma-aminobutyrate family transporter YjeM
CLJU_c19330	672	<=	2101694	2102365	-	CLJU_RS09470	MULTISPECIES: DUF3298 and DUF4163 domain-containing protein
CLJU_c19340	1203	=>	2102551	2103753	-	CLJU_RS09475	MULTISPECIES: EAL domain-containing protein
CLJU_c19350	573	=>	2104003	2104575	-	CLJU_RS09480	MULTISPECIES: flavodoxin family protein
CLJU_c19360	672	=>	2104577	2105248	-	CLJU_RS09485	MULTISPECIES: hypothetical protein
CLJU_c19370	948	=>	2105365	2106312	-	CLJU_RS09490	MULTISPECIES: AEC family transporter
CLJU_c19380	204	<=	2106364	2106567	-	CLJU_RS09495	MULTISPECIES: helix-turn-helix transcriptional regulator
CLJU_c19390	393	<=	2106569	2106961	-	CLJU_RS09500	MULTISPECIES: hypothetical protein
CLJU_c19400	543	=>	2107698	2108240	-	CLJU_RS09505	MULTISPECIES: MarR family transcriptional regulator
fur4	459	=>	2108255	2108713	-	CLJU_RS09510	MULTISPECIES: transcriptional repressor
CLJU_c19420	783	=>	2108780	2109562	-	CLJU_RS09515	MULTISPECIES: PhzF family phenazine biosynthesis protein
CLJU_c19430	894	=>	2109577	2110470	-	CLJU_RS09520	MULTISPECIES: EamA family transporter
CLJU_c19440	939	=>	2110483	2111421	-	CLJU_RS09525	MULTISPECIES: DUF1848 domain-containing protein
CLJU_c19450	702	=>	2111708	2112409	-	CLJU_RS09530	MULTISPECIES: response regulator transcription factor
CLJU_c19460	1455	=>	2112393	2113847	-	CLJU_RS09535	MULTISPECIES: HAMP domain-containing histidine kinase
CLJU_c19470	1365	=>	2113931	2115295	-	CLJU_RS09540	MULTISPECIES: hypothetical protein
CLJU_c19480	690	<=	2115563	2116252	-	CLJU_RS09545	MULTISPECIES: flavin reductase-like protein
ftn	522	<=	2116313	2116834	-	CLJU_RS09550	MULTISPECIES: ferritin
cspC1	198	=>	2117315	2117512	-	CLJU_RS09555	MULTISPECIES: cold-shock protein
CLJU_c19510	822	<=	2117592	2118413	nudC	CLJU_RS09560	MULTISPECIES: NAD(+) diphosphatase
CLJU_c19520	234	=>	2118635	2118868	-	CLJU_RS09565	MULTISPECIES: hypothetical protein
CLJU_c19530	363	=>	2118861	2119223	-	CLJU_RS09570	MULTISPECIES: spore coat protein
CLJU_c19540	1137	=>	2119243	2120379	-	CLJU_RS09575	MULTISPECIES: glutathione-dependent formaldehyde dehydrogenase
CLJU_c19550	213	=>	2120394	2120606	-	CLJU_RS09580	MULTISPECIES: spore coat protein
CLJU_c19560	303	=>	2120629	2120931	-	CLJU_RS09585	MULTISPECIES: spore coat protein
CLJU_c19570	486	=>	2121178	2121663	-	CLJU_RS09590	MULTISPECIES: flavodoxin
cspC2	198	=>	2121866	2122063	-	CLJU_RS09595	MULTISPECIES: cold-shock protein
CLJU_c19590	1179	<=	2122128	2123306	-	CLJU_RS09600	MULTISPECIES: PLP-dependent aminotransferase family protein
CLJU_c19600	1524	<=	2123319	2124842	-	CLJU_RS09605	MULTISPECIES: PLP-dependent aminotransferase family protein
CLJU_c19610	930	<=	2124946	2125875	-	CLJU_RS09610	MULTISPECIES: site-2 protease family protein
CLJU_c19620	330	=>	2126076	2126405	-	CLJU_RS09615	MULTISPECIES: hypothetical protein
CLJU_c19630	1434	<=	2126455	2127888	-	CLJU_RS09620	MULTISPECIES: HAMP domain-containing histidine kinase
CLJU_c19640	681	<=	2127878	2128558	-	CLJU_RS09625	response regulator transcription factor
CLJU_c19650	726	=>	2128732	2129457	-	CLJU_RS09630	MULTISPECIES: ATP-binding cassette domain-containing protein
CLJU_c19660	1179	=>	2129438	2130616	-	CLJU_RS09635	MULTISPECIES: ABC transporter permease subunit
CLJU_c19670	1065	=>	2130754	2131818	-	CLJU_RS09640	MULTISPECIES: glycosyltransferase family 4 protein
CLJU_c19680	1011	=>	2131808	2132818	-	CLJU_RS09645	MULTISPECIES: flippase-like domain-containing protein
CLJU_c19690	1173	<=	2132821	2133993	-	CLJU_RS09650	MULTISPECIES: glycosyltransferase family 4 protein
CLJU_c19700	525	=>	2134132	2134656	-	CLJU_RS09655	MULTISPECIES: rubrerythrin
motB2	750	<=	2134728	2135477	-	CLJU_RS09660	MULTISPECIES: OmpA family protein
motA2	792	<=	2135480	2136271	motA	CLJU_RS09665	flagellar motor stator protein MotA
CLJU_c19730	1080	<=	2136513	2137592	-	CLJU_RS09670	hypothetical protein
CLJU_c19740	1239	=>	2137982	2139220	-	CLJU_RS09675	MULTISPECIES: MFS transporter
CLJU_c19750	1347	=>	2139304	2140650	-	CLJU_RS09680	MULTISPECIES: hypothetical protein
CLJU_c19760	1779	=>	2140702	2142480	-	CLJU_RS09685	response regulator
CLJU_c19770	1875	=>	2142894	2144768	htpG	CLJU_RS09690	MULTISPECIES: molecular chaperone HtpG
potE	1245	<=	2145282	2146526	-	CLJU_RS09695	MULTISPECIES: amino acid permease
CLJU_c19790	876	=>	2146740	2147615	-	CLJU_RS09700	MULTISPECIES: LysR family transcriptional regulator
CLJU_c19800	870	=>	2147732	2148601	-	CLJU_RS09705	MULTISPECIES: hypothetical protein
CLJU_c19810	654	=>	2148807	2149460	-	CLJU_RS09710	MULTISPECIES: response regulator transcription factor
CLJU_c19820	1434	=>	2149461	2150894	-	CLJU_RS09715	HAMP domain-containing histidine kinase
CLJU_c19830	558	=>	2150934	2151491	-	CLJU_RS09720	MULTISPECIES: prolyl-tRNA synthetase associated domain-containing protein
CLJU_c19840	852	=>	2151513	2152364	-	CLJU_RS09725	MULTISPECIES: AraC family transcriptional regulator
CLJU_c19850	468	=>	2152413	2152880	-	CLJU_RS09730	MULTISPECIES: glyoxalase
CLJU_c19860	1329	<=	2153233	2154561	-	CLJU_RS09735	MULTISPECIES: chitinase
CLJU_c19870	1269	<=	2154943	2156211	-	CLJU_RS09740	MULTISPECIES: serine dehydratase subunit alpha family protein
CLJU_c19880	627	=>	2156570	2157196	-	CLJU_RS09745	MULTISPECIES: GntR family transcriptional regulator
CLJU_c19890	570	=>	2157432	2158001	-	CLJU_RS09750	MULTISPECIES: LemA family protein
CLJU_c19900	786	=>	2158095	2158880	-	CLJU_RS09755	MULTISPECIES: TPM domain-containing protein
CLJU_c19910	567	=>	2159034	2159600	-	CLJU_RS09760	MULTISPECIES: tyrosine-type recombinase/integrase
merR	447	<=	2160081	2160527	-	CLJU_RS09765	MULTISPECIES: MerR family transcriptional regulator
wcaG	1035	=>	2160658	2161692	-	CLJU_RS09770	MULTISPECIES: aldehyde reductase
CLJU_c19940	858	=>	2161980	2162837	-	CLJU_RS09775	MULTISPECIES: sensor histidine kinase
CLJU_c19950	888	=>	2163062	2163949	-	CLJU_RS09780	MULTISPECIES: DUF2225 domain-containing protein
CLJU_c19960	660	=>	2164303	2164962	-	CLJU_RS09785	MULTISPECIES: GTP pyrophosphokinase family protein
CLJU_c19970	2007	=>	2165188	2167194	-	CLJU_RS09790	MULTISPECIES: methyl-accepting chemotaxis protein
CLJU_c19980	885	=>	2167205	2168089	-	CLJU_RS09795	MULTISPECIES: ADP-ribosyl
CLJU_c19990	867	=>	2168348	2169214	-	CLJU_RS09800	MULTISPECIES: SDR family oxidoreductase
CLJU_c20000	534	<=	2169600	2170133	-	CLJU_RS09805	MULTISPECIES: NAD(P)H nitroreductase
CLJU_c20010	558	<=	2170335	2170892	-	CLJU_RS09810	MULTISPECIES: hypothetical protein
CLJU_c20020	195	<=	2170983	2171177	-	CLJU_RS09815	MULTISPECIES: hypothetical protein
CLJU_c20030	573	<=	2171319	2171891	-	CLJU_RS09820	MULTISPECIES: 4Fe-4S dicluster domain-containing protein
fdhA	2106	<=	2171905	2174010	-	CLJU_RS09825	"MULTISPECIES: formate dehydrogenase H subunit alpha, selenocysteine-containing"
CLJU_c20050	231	=>	2174649	2174879	-	CLJU_RS09835	MULTISPECIES: MoaD/ThiS family protein
CLJU_c20060	684	=>	2174882	2175565	-	CLJU_RS09840	MULTISPECIES: HesA/MoeB/ThiF family protein
CLJU_c20070	816	=>	2175851	2176666	-	CLJU_RS09845	MULTISPECIES: ABC transporter ATP-binding protein
CLJU_c20080	1038	=>	2176724	2177761	-	CLJU_RS09850	MULTISPECIES: iron ABC transporter permease
CLJU_c20090	1089	=>	2177888	2178976	-	CLJU_RS09855	MULTISPECIES: ABC transporter substrate-binding protein
CLJU_c20100	264	=>	2179099	2179362	-	CLJU_RS09860	MULTISPECIES: hypothetical protein
CLJU_c20110	1824	=>	2179645	2181468	-	CLJU_RS09865	MULTISPECIES: aldehyde ferredoxin oxidoreductase family protein
CLJU_c20120	1341	=>	2181651	2182991	-	CLJU_RS09870	MULTISPECIES: sigma-54-dependent Fis family transcriptional regulator
CLJU_c20130	1899	=>	2183156	2185054	-	CLJU_RS09875	sigma-54-dependent Fis family transcriptional regulator
CLJU_c20140	846	=>	2185576	2186421	-	CLJU_RS09880	MULTISPECIES: tungsten ABC transporter substrate-binding protein
CLJU_c20150	660	=>	2186446	2187105	-	CLJU_RS09885	MULTISPECIES: ABC transporter permease subunit
CLJU_c20160	705	=>	2187095	2187799	-	CLJU_RS09890	ATP-binding cassette domain-containing protein
CLJU_c20170	1233	=>	2187853	2189085	-	CLJU_RS09895	MULTISPECIES: molybdopterin molybdotransferase MoeA
CLJU_c20180	1908	=>	2189090	2190997	-	CLJU_RS09900	molybdopterin biosynthesis protein
CLJU_c20190	432	=>	2191123	2191554	-	CLJU_RS09905	MULTISPECIES: MOSC domain-containing protein
CLJU_c20200	1026	=>	2191551	2192576	-	CLJU_RS09910	MULTISPECIES: AAA domain-containing protein
CLJU_c20210	1824	=>	2192715	2194538	-	CLJU_RS09915	MULTISPECIES: aldehyde ferredoxin oxidoreductase family protein
CLJU_c20220	225	=>	2194631	2194855	-	CLJU_RS09920	MoaD/ThiS family protein
thiF	687	=>	2194858	2195544	-	CLJU_RS09925	MULTISPECIES: HesA/MoeB/ThiF family protein
CLJU_c20240	1941	=>	2195720	2197660	-	CLJU_RS09930	sigma-54-dependent Fis family transcriptional regulator
CLJU_c20250	447	=>	2198030	2198476	-	CLJU_RS09935	helix-turn-helix domain-containing protein
CLJU_c20260	864	=>	2198550	2199413	-	CLJU_RS09940	MULTISPECIES: EamA family transporter
CLJU_c20270	897	=>	2199541	2200437	-	CLJU_RS09945	MULTISPECIES: deoxyribonuclease IV
CLJU_c20280	2646	=>	2200597	2203242	-	CLJU_RS09950	MULTISPECIES: penicillin-binding protein
CLJU_c20290	1347	=>	2203437	2204783	-	CLJU_RS09955	MULTISPECIES: iron hydrogenase
CLJU_c20300	1305	<=	2204814	2206118	-	CLJU_RS09960	MULTISPECIES: DUF2334 domain-containing protein
sbcD	1221	=>	2206440	2207660	-	CLJU_RS09965	MULTISPECIES: exonuclease SbcCD subunit D
sbcCD	3495	=>	2207647	2211141	-	CLJU_RS09970	nuclease SbcCD subunit C
etfB2	804	=>	2211573	2212376	-	CLJU_RS09975	MULTISPECIES: electron transfer flavoprotein subunit beta/FixA family protein
etfA2	999	=>	2212381	2213379	-	CLJU_RS09980	MULTISPECIES: electron transfer flavoprotein subunit alpha/FixB family protein
CLJU_c20350	1407	=>	2213403	2214809	-	CLJU_RS09985	FAD-binding oxidoreductase
CLJU_c20360	918	=>	2214922	2215839	-	CLJU_RS09990	MULTISPECIES: ketopantoate reductase family protein
CLJU_c20370	1917	=>	2216007	2217923	-	CLJU_RS09995	MULTISPECIES: 4Fe-4S dicluster domain-containing protein
CLJU_c20380	939	=>	2218190	2219128	-	CLJU_RS10000	MULTISPECIES: AEC family transporter
ilvC2	1014	=>	2220565	2221578	ilvC	CLJU_RS10005	MULTISPECIES: ketol-acid reductoisomerase
ilvC3	1014	=>	2221957	2222970	ilvC	CLJU_RS10010	MULTISPECIES: ketol-acid reductoisomerase
ilvD	1659	=>	2223526	2225184	ilvD	CLJU_RS10015	MULTISPECIES: dihydroxy-acid dehydratase
ilvI	1611	=>	2225968	2227578	ilvB	CLJU_RS10020	biosynthetic-type acetolactate synthase large subunit
ilvH	480	=>	2227606	2228085	ilvN	CLJU_RS10025	MULTISPECIES: acetolactate synthase small subunit
CLJU_c20440	267	=>	2228335	2228601	-	CLJU_RS10030	MULTISPECIES: hypothetical protein
accC1	1962	<=	2228682	2230643	-	CLJU_RS10035	MULTISPECIES: ATP-grasp domain-containing protein
CLJU_c20460	1152	=>	2230920	2232071	-	CLJU_RS10040	MULTISPECIES: PucR family transcriptional regulator
gabT	1359	=>	2232839	2234197	-	CLJU_RS10045	MULTISPECIES: aspartate aminotransferase family protein
CLJU_c20480	984	=>	2234264	2235247	-	CLJU_RS10050	MULTISPECIES: carboxyltransferase domain-containing protein
CLJU_c20490	984	=>	2235276	2236259	-	CLJU_RS10055	biotin-dependent carboxyltransferase
CLJU_c20500	219	=>	2236294	2236512	-	CLJU_RS10060	MULTISPECIES: acetyl-CoA carboxylase biotin carboxyl carrier protein subunit
CLJU_c20510	768	=>	2236528	2237295	-	CLJU_RS10065	MULTISPECIES: 5-oxoprolinase subunit PxpA
CLJU_c20520	492	=>	2237310	2237801	-	CLJU_RS10070	MULTISPECIES: DUF1097 domain-containing protein
CLJU_c20530	1473	<=	2237855	2239327	putP	CLJU_RS10075	MULTISPECIES: sodium/proline symporter PutP
CLJU_c20540	540	=>	2239631	2240170	-	CLJU_RS10080	MULTISPECIES: DUF2284 domain-containing protein
CLJU_c20550	1368	=>	2240671	2242038	-	CLJU_RS10090	MULTISPECIES: MFS transporter
CLJU_c20560	624	=>	2242307	2242930	-	CLJU_RS10095	MULTISPECIES: cobalamin-binding protein
CLJU_c20570	1110	=>	2242935	2244044	-	CLJU_RS10100	MULTISPECIES: uroporphyrinogen III decarboxylase
CLJU_c20580	1143	=>	2244289	2245431	-	CLJU_RS10105	MULTISPECIES: uroporphyrinogen-III decarboxylase-like protein
CLJU_c20590	1899	<=	2245512	2247410	-	CLJU_RS10110	MULTISPECIES: PTS fructose transporter subunit IIC
CLJU_c20600	906	<=	2247896	2248801	pfkB	CLJU_RS10115	MULTISPECIES: 1-phosphofructokinase
CLJU_c20610	750	<=	2248801	2249550	-	CLJU_RS10120	MULTISPECIES: DeoR/GlpR transcriptional regulator
metH4	798	=>	2250005	2250802	-	CLJU_RS10125	MULTISPECIES: methyltetrahydrofolate cobalamin methyltransferase
CLJU_c20630	681	=>	2250795	2251475	-	CLJU_RS10130	MULTISPECIES: DUF1638 domain-containing protein
cobW	609	=>	2251523	2252131	-	CLJU_RS10135	MULTISPECIES: cobalamin biosynthesis protein
CLJU_c20650	453	=>	2252124	2252576	-	CLJU_RS10140	MULTISPECIES: hypothetical protein
CLJU_c20660	555	=>	2252616	2253170	-	CLJU_RS10145	MULTISPECIES: DUF2284 domain-containing protein
CLJU_c20670	627	=>	2253219	2253845	-	CLJU_RS10150	MULTISPECIES: cobalamin-binding protein
CLJU_c20680	1113	=>	2253847	2254959	-	CLJU_RS10155	MULTISPECIES: uroporphyrinogen III decarboxylase
metH5	798	=>	2255056	2255853	-	CLJU_RS10160	MULTISPECIES: methyltetrahydrofolate cobalamin methyltransferase
CLJU_c20700	627	=>	2256064	2256690	-	CLJU_RS10165	MULTISPECIES: cobalamin-binding protein
CLJU_c20710	1113	=>	2256692	2257804	-	CLJU_RS10170	MULTISPECIES: uroporphyrinogen III decarboxylase
CLJU_c20720	1854	<=	2257852	2259705	-	CLJU_RS10175	MULTISPECIES: DUF4445 domain-containing protein
CLJU_c20730	1554	<=	2259755	2261308	-	CLJU_RS10180	MULTISPECIES: transcriptional regulator
CLJU_c20740	636	=>	2261498	2262133	-	CLJU_RS10185	MULTISPECIES: cobalamin-binding protein
punA	846	=>	2262179	2263024	-	CLJU_RS10190	MULTISPECIES: purine-nucleoside phosphorylase
infC1	513	=>	2263162	2263674	-	CLJU_RS10195	MULTISPECIES: translation initiation factor IF-3
CLJU_c20770	927	<=	2263736	2264662	-	CLJU_RS10200	MULTISPECIES: response regulator
CLJU_c20780	1305	<=	2264670	2265974	-	CLJU_RS10205	MULTISPECIES: sensor histidine kinase
CLJU_c20790	1317	=>	2266280	2267596	-	CLJU_RS10210	MULTISPECIES: cation:dicarboxylase symporter family transporter
CLJU_c20800	1857	<=	2267710	2269566	-	CLJU_RS10215	MULTISPECIES: APC family permease
CLJU_c20810	960	=>	2269762	2270721	-	CLJU_RS10220	MULTISPECIES: ROK family protein
CLJU_c20820	390	=>	2270852	2271241	-	CLJU_RS10225	MULTISPECIES: hypothetical protein
CLJU_c20830	396	<=	2271331	2271726	-	CLJU_RS10230	MULTISPECIES: hypothetical protein
CLJU_c20840	918	=>	2271865	2272782	-	CLJU_RS10235	MULTISPECIES: patatin-like phospholipase family protein
cysS1	1416	=>	2272876	2274291	cysS	CLJU_RS10240	MULTISPECIES: cysteine--tRNA ligase
CLJU_c20860	897	=>	2274371	2275267	-	CLJU_RS10245	MULTISPECIES: two pore domain potassium channel family protein
CLJU_c20870	642	=>	2275323	2275964	-	CLJU_RS10250	MULTISPECIES: hypothetical protein
CLJU_c20880	2031	=>	2276304	2278334	-	CLJU_RS10255	MULTISPECIES: diguanylate cyclase
CLJU_c20890	207	=>	2278516	2278722	-	CLJU_RS10260	MULTISPECIES: DUF1657 domain-containing protein
CLJU_c20900	861	=>	2278739	2279599	-	CLJU_RS10265	MULTISPECIES: DUF421 domain-containing protein
CLJU_c20910	480	=>	2279611	2280090	spoVAC	CLJU_RS10270	MULTISPECIES: stage V sporulation protein AC
CLJU_c20940	354	=>	2281106	2281459	spoVAE	CLJU_RS10280	MULTISPECIES: stage V sporulation protein AE
CLJU_c20950	207	=>	2281480	2281686	-	CLJU_RS10285	MULTISPECIES: DUF1657 domain-containing protein
CLJU_c20960	789	=>	2281926	2282714	-	CLJU_RS10290	MULTISPECIES: SDR family oxidoreductase
CLJU_c20970	213	=>	2282800	2283012	-	CLJU_RS10295	MULTISPECIES: DUF3006 domain-containing protein
CLJU_c20980	960	<=	2283054	2284013	-	CLJU_RS10300	MULTISPECIES: 2-hydroxyglutaryl-CoA dehydratase
CLJU_c20990	1098	<=	2283994	2285091	-	CLJU_RS10305	MULTISPECIES: 2-hydroxyglutaryl-CoA dehydratase
CLJU_c21000	936	<=	2285088	2286023	-	CLJU_RS10310	MULTISPECIES: 2-hydroxyglutaryl-CoA dehydratase
CLJU_c21010	987	=>	2286867	2287853	-	CLJU_RS10315	MULTISPECIES: tyrosine recombinase XerC
CLJU_c21020	420	<=	2287899	2288318	-	CLJU_RS10320	MULTISPECIES: hypothetical protein
lexA	618	=>	2288443	2289060	lexA	CLJU_RS10325	MULTISPECIES: transcriptional repressor LexA
dinB	1215	=>	2289106	2290320	dinB	CLJU_RS10330	MULTISPECIES: DNA polymerase IV
CLJU_c21050	453	<=	2290377	2290829	-	CLJU_RS10335	MULTISPECIES: Lrp/AsnC family transcriptional regulator
CLJU_c21060	1026	<=	2291001	2292026	-	CLJU_RS10340	MULTISPECIES: methylcobamide--CoM methyltransferase
CLJU_c21070	1077	<=	2292057	2293133	-	CLJU_RS10345	MULTISPECIES: uroporphyrinogen decarboxylase
CLJU_c21080	660	<=	2293149	2293808	-	CLJU_RS10350	MULTISPECIES: cobalamin-binding protein
CLJU_c21090	363	<=	2293850	2294212	-	CLJU_RS10355	DUF4445 domain-containing protein
CLJU_c21100	1149	=>	2294662	2295810	-	CLJU_RS10360	2-hydroxyacyl-CoA dehydratase
CLJU_c21110	1068	=>	2296005	2297072	-	CLJU_RS10365	methylcobamide--CoM methyltransferase
CLJU_c21120	1338	<=	2297181	2298518	-	CLJU_RS10370	MFS transporter
CLJU_c21130	618	=>	2299260	2299877	-	CLJU_RS10375	hypothetical protein
CLJU_c21140	1341	=>	2300540	2301880	-	CLJU_RS10380	MFS transporter
CLJU_c21150	459	<=	2302005	2302463	-	CLJU_RS10385	MULTISPECIES: YbaK/EbsC family protein
CLJU_c21160	933	<=	2302780	2303712	-	CLJU_RS10390	MULTISPECIES: DUF4829 domain-containing protein
CLJU_c21170	237	<=	2303792	2304028	-	CLJU_RS10395	MULTISPECIES: hypothetical protein
CLJU_c21180	459	<=	2304269	2304727	-	CLJU_RS10400	MULTISPECIES: uroporphyrinogen decarboxylase
CLJU_c21190	2022	<=	2304957	2306978	-	CLJU_RS10405	MULTISPECIES: NAD(P)-binding protein
CLJU_c21200	1278	<=	2307199	2308476	-	CLJU_RS10410	MULTISPECIES: methionine gamma-lyase family protein
hfq	243	<=	2308555	2308797	hfq	CLJU_RS10415	MULTISPECIES: RNA chaperone Hfq
miaA	936	<=	2308847	2309782	miaA	CLJU_RS10420	MULTISPECIES: tRNA (adenosine(37)-N6)-dimethylallyltransferase MiaA
mutL1	1833	<=	2309791	2311623	mutL	CLJU_RS10425	MULTISPECIES: DNA mismatch repair endonuclease MutL
mutS1	2676	<=	2311650	2314325	mutS	CLJU_RS10430	MULTISPECIES: DNA mismatch repair protein MutS
CLJU_c21250	1344	<=	2314342	2315685	miaB	CLJU_RS10435	MULTISPECIES: tRNA (N6-isopentenyl adenosine(37)-C2)-methylthiotransferase MiaB
CLJU_c21260	438	<=	2315839	2316276	-	CLJU_RS10440	MULTISPECIES: hypothetical protein
CLJU_c21270	1185	=>	2316725	2317909	-	CLJU_RS10445	MULTISPECIES: PLP-dependent aminotransferase family protein
CLJU_c21280	156	=>	2317965	2318120			
aspC2	1197	=>	2318181	2319377	-	CLJU_RS10450	MULTISPECIES: pyridoxal phosphate-dependent aminotransferase
CLJU_c21300	888	<=	2319402	2320289	-	CLJU_RS10455	MULTISPECIES: GNAT family N-acetyltransferase
